Movie,Total Gross,Opening,Screens,RT,International,DVD,Budget,Rating,Genre
Notorious,36.8437,20.4976,1638,50,7.631473,21.63952,19,R,Drama
Observe and Report,24.0073,11.0173,2727,51,2.96623,13.316505,18,R,Comedy
Obsessed,68.2616,28.6127,2514,20,3.619388,20.662106,20,PG-13,Thriller
Old Dogs,49.4921,16.8945,3425,5,47.3,24.815933,35,PG,Comedy
Orphan,41.596,12.8715,2750,56,36.741122,13.645321,,R,Drama
Pandorum,10.3309,4.4241,2506,27,6.702578,5.606294,40,R,Horror
Paul Blart: Mall Cop,146.3362,31.8326,3144,33,35.4348,54.789371,26,PG,Comedy
Planet 51,42.1941,12.2861,3035,22,65.811685,17.097589,60,PG,Adventure
Ponyo,15.0904,3.5859,927,92,184,14.681597,34,G,Adventure
Public Enemies,97.1045,25.2717,3334,67,113.275363,36.833957,102.5,R,Drama
Push,31.8115,10.0791,2313,22,12.6,16.833016,38,PG-13,Thriller
Race to Witch Mountain,67.1726,24.4022,3187,43,37.931189,36.379452,65,PG,Adventure
Saw VI,27.6933,14.1184,3036,40,33.566405,10.462792,11,R,Horror
Sherlock Holmes,209.0287,62.3043,3626,70,315,44.879472,90,PG-13,Adventure
Shorts,20.9192,6.4103,3105,44,8.1,1.83187,40,PG,Adventure
Sorority Row,11.9653,5.0598,2665,22,14.770515,1.350584,12.5,R,Horror
Star Trek,257.73,75.2043,3849,95,127.950427,100.822737,140,PG-13,Adventure
State of Play,37.018,14.0713,2803,84,54.427434,14.137101,60,PG-13,Thriller
Street Fighter: The Legend of Chun-Li,8.7423,4.7211,1136,18,3.2,5.820105,50,PG-13,Action
Surrogates,38.5778,14.9027,2951,39,81.090578,12.007035,80,PG-13,Action
Taken,145.001,24.717,3183,58,80.460472,69.101583,25,PG-13,Thriller
Terminator Salvation,125.3225,42.5584,3530,33,246.30607,29.714894,200,PG-13,Action
The Blind Side,255.9517,34.1194,3110,66,52.2,103.170836,35,PG-13,Drama
The Box,15.052,7.5714,2635,45,11.289919,3.859569,25,PG-13,Thriller
The Final Destination,66.4777,27.4083,3121,30,119.3,11.225119,40,R,Horror
The Fourth Kind,25.486,12.2312,2527,17,23.270618,8.69453,10,PG-13,Thriller
"The Goods: Live Hard, Sell Hard",15.1227,5.642,1838,25,0.174642,,10,R,Comedy
The Hangover,277.3225,44.9793,3269,78,192.230968,179.22489,35,R,Comedy
The Haunting in Connecticut,55.3895,23.0048,2732,17,17.41733,21.646242,,PG-13,Horror
The Informant!,33.3168,10.4643,2505,78,8.454347,6.737976,22,R,Thriller
The International,25.4505,9.3317,2364,59,28.4,7.582558,50,R,Thriller
The Invention of Lying,18.4513,7.0275,1707,56,14.228013,5.395495,18.5,PG-13,Comedy
The Last House on the Left,32.7522,14.1187,2401,63,12.761301,,0.1,R,Horror
The Men Who Stare at Goats,32.4282,12.7067,2443,52,34.920023,9.827323,24,R,Comedy
The Pink Panther 2,35.923,11.5882,3243,12,34.1,7.508752,,PG,Comedy
The Proposal,163.958,33.6276,3056,43,150.751686,89.39116,40,PG-13,Comedy
The Soloist,31.7202,9.7165,2024,56,6.733994,10.796654,60,PG-13,Drama
The Stepfather,29.0626,11.5816,2734,12,0.165,8.122688,20,PG-13,Thriller
The Taking of Pelham 1 2 3,65.4523,23.3731,3074,51,86.912058,24.702585,110,R,Action
The Time Traveler's Wife,63.4148,18.6232,2988,37,35.251789,21.857254,39,PG-13,Drama
The Twilight Saga: New Moon,296.6236,142.8391,4024,28,416,175.662912,50,PG-13,Drama
The Ugly Truth,88.9152,27.6056,2882,13,116.314828,31.208087,38,R,Comedy
The Unborn,42.67,19.8106,2357,12,34.537905,11.718789,16,PG-13,Horror
The Uninvited,28.5968,10.3258,2344,31,14.182143,11.431596,,PG-13,Horror
Transformers: Revenge of the Fallen,402.1119,108.9663,4234,20,434.407829,220.721562,210,PG-13,Action
Tyler Perry's I Can Do Bad All By Myself,51.7339,23.4468,2255,60,,19.224709,19,PG-13,Comedy
Tyler Perry's Madea Goes to Jail,90.5083,41.0309,2032,27,,28.529518,17.5,PG-13,Comedy
Underworld: Rise of the Lycans,45.8023,20.8285,2942,30,43.3,45.414047,35,R,Action
Up,293.0042,68.1088,3766,98,438.300445,182.602449,175,PG,Adventure
Watchmen,107.5098,55.2143,3611,64,76.558558,52.917258,138,R,Action
Where the Wild Things Are,77.2335,32.6954,3735,73,21.890189,29.420011,100,PG,Adventure
Whip It,13.0434,4.6508,1721,84,3.589672,7.090237,15,PG-13,Comedy
Whiteout,10.2756,4.9151,2745,7,1.979108,3.664145,35,R,Thriller
X-Men Origins: Wolverine,179.8832,85.058,4099,37,194.942603,76.521856,150,PG-13,Action
Year One,43.3373,19.6103,3022,15,14.267444,16.879882,60,PG-13,Comedy
Zombieland,75.5903,24.7332,3036,90,27.200921,31.999423,23.6,R,Comedy
